agency_i,agency_j,correlation,correlation_95ci_low,correlation_95ci_high,valid_bootstrap_replicates,requested_bootstrap_replicates,cluster_unit,matched_grade_a_events
JTWC,JTWC,1.0,0.9999999999999999,1.0,1964,2000,SID,4
JTWC,JMA,-0.24643262338704508,-1.0,1.0,1964,2000,SID,4
JTWC,CMA,0.9003535735106868,-1.0,1.0,1964,2000,SID,4
JTWC,HKO,0.9955067197979462,0.6572036448159909,1.0,1964,2000,SID,4
JTWC,KMA,0.8171926674095923,-0.9999999999999999,1.0,1964,2000,SID,4
JMA,JTWC,-0.24643262338704508,-1.0,1.0,1964,2000,SID,4
JMA,JMA,1.0,0.9999999999999998,1.0,1964,2000,SID,4
JMA,CMA,0.051466894212819005,-1.0,1.0,1964,2000,SID,4
JMA,HKO,-0.22077363325465105,-1.0,1.0,1964,2000,SID,4
JMA,KMA,-0.44636531365934173,-1.0,1.0,1964,2000,SID,4
CMA,JTWC,0.9003535735106868,-1.0,1.0,1964,2000,SID,4
CMA,JMA,0.051466894212819005,-1.0,1.0,1964,2000,SID,4
CMA,CMA,1.0,0.9999999999999998,1.0,1964,2000,SID,4
CMA,HKO,0.8732176480587533,-1.0,1.0,1964,2000,SID,4
CMA,KMA,0.8361179526594846,-1.0,1.0,1964,2000,SID,4
HKO,JTWC,0.9955067197979462,0.6572036448159909,1.0,1964,2000,SID,4
HKO,JMA,-0.22077363325465105,-1.0,1.0,1964,2000,SID,4
HKO,CMA,0.8732176480587533,-1.0,1.0,1964,2000,SID,4
HKO,HKO,1.0,0.9999999999999998,1.0,1964,2000,SID,4
HKO,KMA,0.7598573779431737,-1.0,1.0,1964,2000,SID,4
KMA,JTWC,0.8171926674095922,-0.9999999999999999,1.0,1964,2000,SID,4
KMA,JMA,-0.44636531365934173,-1.0,1.0,1964,2000,SID,4
KMA,CMA,0.8361179526594846,-1.0,1.0,1964,2000,SID,4
KMA,HKO,0.7598573779431735,-1.0,1.0,1964,2000,SID,4
KMA,KMA,1.0,0.9999999999999998,1.0,1964,2000,SID,4
