model,predicted_probability,observed_rate,rows,storms
climatology,0.001254363002,0.0016539861065167053,3023,150
climatology,0.0013272457,0.00144248106743599,2773,140
climatology,0.001352028042,0.0013599274705349048,2206,110
climatology,0.001415877356,0.0010256410256410256,1950,113
climatology,0.001456847182,0.0008936550491510277,2238,118
persistence,0.001255732693,0.0016567263088137839,3018,150
persistence,0.001328797704,0.001444564824846515,2769,140
persistence,0.001353790614,0.0013611615245009074,2204,110
persistence,0.001417676965,0.001026694045174538,1948,113
persistence,0.001458752515,0.0008944543828264759,2236,118
persistence,0.035714285714,0.0,6,6
persistence,0.041666666667,0.0,4,4
persistence,0.045454545455,0.0,5,5
