published_case_id,tc_number,occurrence_for_tc,tc_name,vmax_kt,vmax_time_mmddhhz,formation_latitude_deg_n,formation_longitude_deg_e,formation_intensity_kt,satellite_image_time,sensor,formation_minus_vmax_hours,intensity_change_class,inner_eyewall_radius_km,moat_width_km,label_semantics,erc_onset_label,source
1997-10W,1997-10W,1,Rosie,140,072212Z,19.3,131.8,135,0722-2147Z(SSMI),SSMI,10,PN,28.97,26.32,published concentric-eyewall formation case,,Kuo et al. 2009 supplementary CE table
1997-12W,1997-12W,1,Tina,90,080506Z,21.6,126.5,90,0805-0900Z(SSMI),SSMI,3,PN,44.61,26.94,published concentric-eyewall formation case,,Kuo et al. 2009 supplementary CE table
1997-14W,1997-14W,1,Winnie,140,081200Z,23.8,132.1,85,0816-1248Z(SSMI),SSMI,109,NN,55.1,151.62,published concentric-eyewall formation case,,Kuo et al. 2009 supplementary CE table
1997-18W,1997-18W,1,Amber,110,082712Z,18.8,126.6,95,0826-2054Z(SSMI),SSMI,-15,PP,50.6,64.52,published concentric-eyewall formation case,,Kuo et al. 2009 supplementary CE table
1997-19W,1997-19W,1,Bing,135,090106Z,33.5,144.1,85,0903-0946Z(SSMI),SSMI,52,NN,38.58,40.03,published concentric-eyewall formation case,,Kuo et al. 2009 supplementary CE table
1997-21W,1997-21W,1,David,95,091418Z,24.0,152.6,95,0916-0818Z(SSMI),SSMI,38,PN,37.9,79.5,published concentric-eyewall formation case,,Kuo et al. 2009 supplementary CE table
1997-28W,1997-28W,1,Joan,160,101706Z,23.2,136.9,135,1020-2152Z(SSMI),SSMI,88,NN,57.56,35.69,published concentric-eyewall formation case,,Kuo et al. 2009 supplementary CE table
1997-29W,1997-29W,1,Keith,155,110218Z,17.0,135.6,130,1104-0058Z(SSMI),SSMI,31,NN,82.8,9.07,published concentric-eyewall formation case,,Kuo et al. 2009 supplementary CE table
1997-02C,1997-02C,1,Oliwax,140,090912Z,20.3,144.0,135,0912-0051Z(SSMI),SSMI,61,PN,62.93,29.62,published concentric-eyewall formation case,,Kuo et al. 2009 supplementary CE table
1997-05C,1997-05C,1,Paka,160,121500Z,12.7,149.5,140,1215-0822Z(SSMI),SSMI,8,PN,45.74,18.1,published concentric-eyewall formation case,,Kuo et al. 2009 supplementary CE table
1998-18W,1998-18W,1,Zeb,155,101312Z,17.0,122.7,155,1013-2117Z(SSMI),SSMI,9,landfall,45.62,29.37,published concentric-eyewall formation case,,Kuo et al. 2009 supplementary CE table
1998-20W,1998-20W,1,Babs,135,102012Z,12.2,127.1,135,1020-1222Z(TMI),TMI,0,landfall,30.26,16.96,published concentric-eyewall formation case,,Kuo et al. 2009 supplementary CE table
1999-06W,1999-06W,1,Maggie,105,060500Z,18.9,124.5,105,0604-2314Z(SSMI),SSMI,-1,landfall,49.27,50.05,published concentric-eyewall formation case,,Kuo et al. 2009 supplementary CE table
1999-24W,1999-24W,1,Bart,140,092206Z,27.9,127.2,120,0922-2123Z(SSMI),SSMI,15,landfall,26.44,16.91,published concentric-eyewall formation case,,Kuo et al. 2009 supplementary CE table
1999-26W,1999-26W,1,Dan,110,100500Z,21.8,118.1,90,1007-2339Z(SSMI),SSMI,72,landfall,70.95,44.11,published concentric-eyewall formation case,,Kuo et al. 2009 supplementary CE table
2000-05W,2000-05W,1,Kirogi,115,070412Z,25.8,135.3,75,0706-0903Z(SSMI),SSMI,45,NP,41.6,38.02,published concentric-eyewall formation case,,Kuo et al. 2009 supplementary CE table
2000-13W,2000-13W,1,Jelawat,125,080306Z,25.3,141.7,105,0803-2038Z(SSMI),SSMI,13,NN,25.07,33.99,published concentric-eyewall formation case,,Kuo et al. 2009 supplementary CE table
2000-18W,2000-18W,1,Billis,140,082118Z,20.9,123.9,140,0822-0047Z(TMI),TMI,7,landfall,42.67,11.22,published concentric-eyewall formation case,,Kuo et al. 2009 supplementary CE table
2000-22W,2000-22W,1,Saomai,140,091012Z,24.2,132.5,140,0910-1117Z(SSMI),SSMI,1,PN,36.11,17.54,published concentric-eyewall formation case,,Kuo et al. 2009 supplementary CE table
2000-26W,2000-26W,1,Shanshan,130,092106Z,25.5,165.6,115,0922-0939Z(SSMI),SSMI,28,NN,30.67,19.02,published concentric-eyewall formation case,,Kuo et al. 2009 supplementary CE table
2001-04W,2001-04W,1,Chebi,100,062300Z,22.1,119.4,100,0622-2103Z(TMI),TMI,-3,landfall,32.49,17.23,published concentric-eyewall formation case,,Kuo et al. 2009 supplementary CE table
2001-12W,2001-12W,1,Man-yi,120,080418Z,25.6,143.9,110,0805-1137Z(SSMI),SSMI,18,NN,44.51,22.65,published concentric-eyewall formation case,,Kuo et al. 2009 supplementary CE table
2001-19W,2001-19W,1,Danas,105,090706Z,20.7,150.8,80,0905-0456Z(TMI),TMI,-49,PP,22.63,19.8,published concentric-eyewall formation case,,Kuo et al. 2009 supplementary CE table
2001-26W,2001-26W,1,Podul,140,102406Z,17.2,156.9,140,1024-0351Z(TMI),TMI,-2,PP,33.22,15.79,published concentric-eyewall formation case,,Kuo et al. 2009 supplementary CE table
2001-26W(2),2001-26W,2,Podul,140,102406Z,20.9,154.0,140,1025-1926Z(TMI),TMI,37,PP,49.71,32.5,published concentric-eyewall formation case,,Kuo et al. 2009 supplementary CE table
2001-33W,2001-33W,1,Faxai,155,122300Z,14.7,150.2,155,1222-2236Z(SSMI),SSMI,-1,PN,26.57,21.34,published concentric-eyewall formation case,,Kuo et al. 2009 supplementary CE table
2002-12W,2002-12W,1,Fengshen,145,072112Z,23.3,151.2,135,0722-0755Z(SSMI),SSMI,20,PN,44.55,47.92,published concentric-eyewall formation case,,Kuo et al. 2009 supplementary CE table
2002-21W,2002-21W,1,Rusa,115,082606Z,22.1,146.8,100,0825-2354Z(SSMI),SSMI,-6,PP,28.74,35.87,published concentric-eyewall formation case,,Kuo et al. 2009 supplementary CE table
2002-21W(2),2002-21W,2,Rusa,115,082606Z,26.3,133.8,90,0828-1018Z(TMI),TMI,52,NN,60.04,47.29,published concentric-eyewall formation case,,Kuo et al. 2009 supplementary CE table
2002-22W,2002-22W,1,Sinlaku,110,083106Z,24.1,144.3,110,0901-1033Z(SSMI),SSMI,29,PN,36.22,23.28,published concentric-eyewall formation case,,Kuo et al. 2009 supplementary CE table
2002-02C,2002-02C,1,Ele,115,083106Z,15.0,177.6,115,0831-0424Z(TMI),TMI,-2,PP,25.8,15.19,published concentric-eyewall formation case,,Kuo et al. 2009 supplementary CE table
2003-02W,2003-02W,1,Kugira,135,041600Z,13.6,129.5,125,0418-1241Z(SSMI),SSMI,61,PN,39.48,24.06,published concentric-eyewall formation case,,Kuo et al. 2009 supplementary CE table
2003-07W,2003-07W,1,Soudelor,115,061806Z,27.8,125.4,115,0618-1120Z(SSMI),SSMI,5,landfall,45.46,23.48,published concentric-eyewall formation case,,Kuo et al. 2009 supplementary CE table
2003-09W,2003-09W,1,Imbudo,130,072012Z,13.7,128.2,130,0720-2219Z(SSMI),SSMI,10,landfall,34.11,25.41,published concentric-eyewall formation case,,Kuo et al. 2009 supplementary CE table
2003-14W,2003-14W,1,Dujuan,125,090112Z,20.6,125.4,120,0831-2235Z(SSMI),SSMI,-13,PP,46.97,32.69,published concentric-eyewall formation case,,Kuo et al. 2009 supplementary CE table
2003-15W,2003-15W,1,Maemi,150,091000Z,24.3,126.1,150,0910-0925Z(SSMI),SSMI,9,PN,46.32,54.74,published concentric-eyewall formation case,,Kuo et al. 2009 supplementary CE table
2003-20W,2003-20W,1,Ketsana,125,102112Z,16.8,131.1,125,1021-1246Z(SSMI),SSMI,1,PP,66.05,15.02,published concentric-eyewall formation case,,Kuo et al. 2009 supplementary CE table
2003-21W,2003-21W,1,Parma,130,102412Z,26.6,150.1,115,1029-2314Z(SSMI),SSMI,131,PN,31.83,14.62,published concentric-eyewall formation case,,Kuo et al. 2009 supplementary CE table
2003-26W,2003-26W,1,Lupit,145,112606Z,13.6,136.0,140,1126-1200Z(SSMI),SSMI,6,PP,54.75,29.12,published concentric-eyewall formation case,,Kuo et al. 2009 supplementary CE table
2004-03W,2004-03W,1,Sudal,130,041000Z,10.9,135.1,130,0409-2224Z(SSMI),SSMI,-2,PN,40.76,18.02,published concentric-eyewall formation case,,Kuo et al. 2009 supplementary CE table
2004-09W,2004-09W,1,Dianmu,150,061606Z,17.2,134.6,150,0616-2158Z(SSMI),SSMI,16,PN,20.27,24.97,published concentric-eyewall formation case,,Kuo et al. 2009 supplementary CE table
2004-09W(2),2004-09W,2,Dianmu,150,061606Z,20.2,130.3,130,0618-1202Z(SSMI),SSMI,54,PN,60.8,54.99,published concentric-eyewall formation case,,Kuo et al. 2009 supplementary CE table
2004-10W,2004-10W,1,Mindulle,125,062900Z,18.7,124.0,125,0628-2325Z(SSMI),SSMI,-1,landfall,69.01,30.87,published concentric-eyewall formation case,,Kuo et al. 2009 supplementary CE table
2004-13W,2004-13W,1,Namtheun,115,072618Z,27.8,146.0,115,0726-2142Z(SSMI),SSMI,4,PN,35.29,43.31,published concentric-eyewall formation case,,Kuo et al. 2009 supplementary CE table
2004-19W,2004-19W,1,Chaba,155,082300Z,18.8,139.0,145,0824-1145Z(SSMI),SSMI,36,PP,64.06,20.76,published concentric-eyewall formation case,,Kuo et al. 2009 supplementary CE table
2004-19W(2),2004-19W,2,Chaba,155,082300Z,26.9,134.3,105,0827-0920Z(SSMI),SSMI,105,NP,52.16,60.95,published concentric-eyewall formation case,,Kuo et al. 2009 supplementary CE table
2004-22W,2004-22W,1,Songda,130,090406Z,24.5,130.4,125,0904-0907Z(SSMI),SSMI,3,PN,51.95,44.6,published concentric-eyewall formation case,,Kuo et al. 2009 supplementary CE table
2004-27W,2004-27W,1,Tokage,125,101700Z,19.4,131.8,125,1017-0013Z(SSMI),SSMI,0,PN,33.3,22.02,published concentric-eyewall formation case,,Kuo et al. 2009 supplementary CE table
2005-04W,2005-04W,1,Nesat,125,060318Z,22.9,134.2,105,0606-2148Z(SSMI),SSMI,76,PN,39.62,26.1,published concentric-eyewall formation case,,Kuo et al. 2009 supplementary CE table
2005-05W,2005-05W,1,Haitang,140,071612Z,20.7,127.7,140,0716-1126Z(TMI),TMI,-1,landfall,51.31,17.03,published concentric-eyewall formation case,,Kuo et al. 2009 supplementary CE table
2005-05W(2),2005-05W,2,Haitang,140,071612Z,23.0,124.0,115,0717-1212Z(SSMI),SSMI,24,PN,38.17,20.53,published concentric-eyewall formation case,,Kuo et al. 2009 supplementary CE table
2005-13W,2005-13W,1,Talim,130,083006Z,22.0,127.2,130,0830-0956Z(SSMI),SSMI,4,PN,37.09,24.63,published concentric-eyewall formation case,,Kuo et al. 2009 supplementary CE table
2005-14W,2005-14W,1,Nabi,140,090118Z,16.1,145.0,90,0831-0845Z(SSMI),SSMI,-33,PP,43.29,34.69,published concentric-eyewall formation case,,Kuo et al. 2009 supplementary CE table
2005-14W(2),2005-14W,2,Nabi,140,090118Z,22.5,133.9,120,0903-0859Z(SSMI),SSMI,39,NN,69.59,20.94,published concentric-eyewall formation case,,Kuo et al. 2009 supplementary CE table
2006-02W,2006-02W,1,Chanchu,125,051500Z,14.2,115.3,125,0515-0045Z(SSMI),SSMI,1,PN,52.63,64.75,published concentric-eyewall formation case,,Kuo et al. 2009 supplementary CE table
2006-04W,2006-04W,1,Ewiniar,130,070500Z,20.8,127.7,100,0706-2339(TMI),TMI,48,NN,38.67,35.21,published concentric-eyewall formation case,,Kuo et al. 2009 supplementary CE table
2006-14W,2006-14W,1,Shanshan,120,091512Z,27.2,125.9,115,0916-0930(SSMI),SSMI,21,landfall,56.93,27.14,published concentric-eyewall formation case,,Kuo et al. 2009 supplementary CE table
2006-16W,2006-16W,1,Yagi,140,092112Z,19.6,154.0,120,0920-0729(TMI),TMI,-29,PP,33.48,35.74,published concentric-eyewall formation case,,Kuo et al. 2009 supplementary CE table
2006-18W,2006-18W,1,Xangsane,125,092712Z,15.5,112.3,115,0930-0030(SSMI),SSMI,60,landfall,37.88,26.24,published concentric-eyewall formation case,,Kuo et al. 2009 supplementary CE table
2006-24W,2006-24W,1,Durian,135,112912Z,13.8,113.9,90,1202-2253(SSMI),SSMI,83,PN,58.53,30.27,published concentric-eyewall formation case,,Kuo et al. 2009 supplementary CE table
2006-01C,2006-01C,1,Ioke,140,082506Z,16.4,171.9,140,0829-2041Z(SSMI),SSMI,111,PN,43.25,17.26,published concentric-eyewall formation case,,Kuo et al. 2009 supplementary CE table
2006-01C(2),2006-01C,2,Ioke,140,082506Z,25.7,152.4,100,0903-0734Z(SSMI),SSMI,218,NN,100.68,78.6,published concentric-eyewall formation case,,Kuo et al. 2009 supplementary CE table
