scene_id,source_sha256,valid_at_utc,mission,center_latitude_deg,center_longitude_deg,eye_in_acquisition,center_quality_flag,quality_eligible,ineligibility_reasons,dual_ring_structure_observed,inner_peak_radius_km,outer_peak_radius_km,inner_peak_prominence_ms,outer_peak_prominence_ms,evidence_class
rcm3-sclna-owi-ca-20260702t072553-20260702t072729-00003-xxxxx_sw_wp092026_cyclone_polar.nc,7ba092fd29a49e4dd1a9994edd8d8766eac6bc1bb9990a4e40f8e000b8f887b8,2026-07-02T07:25:53+00:00,RADARSAT Constellation 3,11.886950492858887,158.79107666015625,True,1.0,True,[],False,,,,,primary_structurally_eligible_no_operator_trigger
rcm3-sclna-owi-ca-20260702t192355-20260702t192447-00003-xxxxx_sw_wp092026_cyclone_polar.nc,e2a274dbbfaa280d20324382361722dce16168fcdfc8a28f286398dae0128363,2026-07-02T19:23:55+00:00,RADARSAT Constellation 3,12.561976432800293,156.2108154296875,True,0.0,True,[],False,,,,,primary_structurally_eligible_no_operator_trigger
rcm3-sclnd-owi-ca-20260703t193147-20260703t193257-00003-xxxxx_sw_wp092026_cyclone_polar.nc,6bad25ab844fe079e189d1fae8e76b6a5ff094adeaf176a223844e190ba05685,2026-07-03T19:31:47+00:00,RADARSAT Constellation 3,12.672112464904785,152.00889587402344,True,0.0,True,[],False,,,,,primary_structurally_eligible_no_operator_trigger
rcm3-sclnd-owi-ca-20260704t193944-20260704t194054-00003-xxxxx_sw_wp092026_cyclone_polar.nc,426fa465d6303b076c90c52f0e49536c3ce984bfadfc5e42f9b06c1eebdd9e47,2026-07-04T19:39:44+00:00,RADARSAT Constellation 3,12.719483375549316,149.60208129882812,False,1.899999976158142,False,"[""eye_not_in_acquisition""]",False,,,,,primary_indeterminate_quality_or_spatial_coverage
s1d-ew-owi-ca-20260705t081033-20260705t081136-000003-006459_sw_wp092026_cyclone_polar.nc,8f932b9ba7d8035f6396c1c7e13a35f22e6c393925983b15265080ef9de6227f,2026-07-05T08:10:33+00:00,SENTINEL-1 D,13.527851104736328,147.68960571289062,True,0.5,True,[],False,,,,,primary_structurally_eligible_no_operator_trigger
rcm2-sclnc-owi-ca-20260705t082237-20260705t082342-00003-xxxxx_sw_wp092026_cyclone_polar.nc,50f71ef6728a7449ebe7f870c35da699c04fd87d970f9be75554b10f8e7ed93c,2026-07-05T08:22:37+00:00,RADARSAT Constellation 2,13.537541389465332,147.67947387695312,True,0.6000000238418579,True,[],False,,,,,primary_structurally_eligible_no_operator_trigger
rcm2-sclna-owi-ca-20260706t083129-20260706t083215-00003-xxxxx_sw_wp092026_cyclone_polar.nc,989c313693dffa04ee8792048425884f80b9f37dd785bdd59347f01c06ddde4b,2026-07-06T08:31:29+00:00,RADARSAT Constellation 2,15.05228328704834,143.4355926513672,True,0.0,True,[],False,,,,,primary_structurally_eligible_no_operator_trigger
rcm2-sclnc-owi-ca-20260706t202705-20260706t202818-00003-xxxxx_sw_wp092026_cyclone_polar.nc,91dac658eae136793155f4325ea0204b74838a2bc64bf28c12be7bdddecd8c80,2026-07-06T20:27:05+00:00,RADARSAT Constellation 2,15.846488952636719,140.546142578125,True,0.699999988079071,True,[],False,,,,,primary_structurally_eligible_no_operator_trigger
s1c-ew-owi-ca-20260707t205532-20260707t205636-000003-010B4B_sw_wp092026_cyclone_polar.nc,a9fd24af770650a89ebf743a25850c02f04d5e6725dccf08ffad229d7427a545,2026-07-07T20:55:32+00:00,SENTINEL-1 C,16.732707977294922,134.822509765625,True,2.0,False,"[""center_quality_not_below_threshold""]",False,,,,,primary_indeterminate_quality_or_spatial_coverage
rcm1-sc50ma-owi-ca-20260707t210637-20260707t210746-00003-xxxxx_sw_wp092026_cyclone_polar.nc,5198e2433b9caf1640be0e1316dd853c0080c593b75a9b9b8da9ef5ba0a99b65,2026-07-07T21:06:37+00:00,RADARSAT Constellation 1,17.03367042541504,132.9807891845703,False,3.200000047683716,False,"[""eye_not_in_acquisition"", ""center_quality_not_below_threshold""]",False,,,,,primary_indeterminate_quality_or_spatial_coverage
rcm1-sc50mc-owi-ca-20260708t091941-20260708t092055-00003-xxxxx_sw_wp092026_cyclone_polar.nc,7dced9ede920fc0289abf5e61db89fd4bcf55ca46c37d2edbd786030734781ca,2026-07-08T09:19:41+00:00,RADARSAT Constellation 1,17.17641830444336,132.43173217773438,True,1.2999999523162842,True,[],True,37.0,141.0,3.384479,0.782805,primary_double_ring_wind_structure
s1c-ew-owi-ca-20260708t092510-20260708t092613-000003-010B8C_sw_wp092026_cyclone_polar.nc,0daeae67dcd8077703cebd964eea286bc5e34e96e7e31eeee35d27b6134df890,2026-07-08T09:25:10+00:00,SENTINEL-1 C,17.133140563964844,131.9364776611328,False,2.700000047683716,False,"[""eye_not_in_acquisition"", ""center_quality_not_below_threshold""]",False,,,,,primary_indeterminate_quality_or_spatial_coverage
rcm1-sc50ma-owi-ca-20260708t211423-20260708t211534-00003-xxxxx_sw_wp092026_cyclone_polar.nc,0b1f35bd44405c5b157a0c957500aa18d8b2d7c5dccf2c68d52fd9a11275feb3,2026-07-08T21:14:23+00:00,RADARSAT Constellation 1,17.885154724121094,130.40362548828125,True,1.0,True,[],True,45.0,106.0,2.126067,2.115232,primary_double_ring_wind_structure
rcm1-sc50ma-owi-ca-20260709t092647-20260709t093203-00003-xxxxx_sw_wp092026_cyclone_polar.nc,7d2b69996308a531cd777af1921d59117080f6388208f430ef5e1becb21eab50,2026-07-09T09:26:47+00:00,RADARSAT Constellation 1,18.8486270904541,129.0580596923828,True,0.0,True,[],True,43.0,104.0,1.676842,1.39232,primary_double_ring_wind_structure
s1d-ew-owi-ca-20260709t212740-20260709t212843-000003-00668F_sw_wp092026_cyclone_polar.nc,e3edf81281d5fd26ca41e13f1c19d86d3c48700e012f489d68921f5e956da153,2026-07-09T21:27:40+00:00,SENTINEL-1 D,20.63089942932129,127.75904846191406,True,0.0,True,[],True,37.0,123.0,1.371371,0.968916,primary_double_ring_wind_structure
s1c-ew-owi-ca-20260711t095231-20260711t095335-000003-010D12_sw_wp092026_cyclone_polar.nc,29cc4f8881595592c4a4b20812bad69e5509e6bbd552e802bd816d9e7cf228c0,2026-07-11T09:52:31+00:00,SENTINEL-1 C,27.21016502380371,122.11211395263672,True,1.7999999523162842,True,[],False,,,,,primary_structurally_eligible_no_operator_trigger
